# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1775213496047000000,1775213556063000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1775213496047000000,1775213556063000000,197418
DiskQueryRelay.tasksExecuted,1775213496047000000,1775213556063000000,45
writeAction.median.wait.ms,1775213496047000000,1775213556063000000,0
writeAction.wait.ms,1775213496047000000,1775213556063000000,3
DiskQueryRelay.taskExecutionTotalTimeUs,1775213496047000000,1775213556063000000,148713
writeAction.max.wait.ms,1775213496047000000,1775213556063000000,3
DiskQueryRelay.tasksRequested,1775213496047000000,1775213556063000000,45
FlushQueue.queueSizeMax,1775213496047000000,1775213556063000000,22
ReadAction.executionsCount,1775213496047000000,1775213556063000000,141
AWTEventQueue.dispatchTimeMaxNs,1775213496047000000,1775213556063000000,1061158911
FlushQueue.waitingTime90PNs,1775213496047000000,1775213556063000000,517996543
AWTEventQueue.dispatchTimeAvgNs,1775213496047000000,1775213556063000000,2750418.3636363638
FlushQueue.executionTimeMaxNs,1775213496047000000,1775213556063000000,1056964607
FlushQueue.queueSize90P,1775213496047000000,1775213556063000000,12
FlushQueue.waitingTimeMaxNs,1775213496047000000,1775213556063000000,725614591
FlushQueue.waitingTimeAvgNs,1775213496047000000,1775213556063000000,9.602479614659686E7
AWTEventQueue.dispatchTime90PNs,1775213496047000000,1775213556063000000,1155071
FlushQueue.executionTimeAvgNs,1775213496047000000,1775213556063000000,7592087.1204188485
AWTEventQueue.eventsDispatched,1775213496047000000,1775213556063000000,1056
AWTEventQueue.dispatchTimeTotalNS,1775213496047000000,1775213556063000000,2903444095
FlushQueue.executionTime90PNs,1775213496047000000,1775213556063000000,2539519
WriteAction.executionsCount,1775213496047000000,1775213556063000000,1
FlushQueue.queueSizeAvg,1775213496047000000,1775213556063000000,4.0
FlushQueue.tasksExecuted,1775213496047000000,1775213556063000000,191
Indexing.writesQueuedMin,1775213496047000000,1775213556063000000,0
Indexing.cache.totalCacheMisses,1775213496047000000,1775213556063000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775213496047000000,1775213556063000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1775213496047000000,1775213556063000000,0
Indexing.cache.totalCacheAccesses,1775213496047000000,1775213556063000000,0
Indexing.cache.totalCacheEvicted,1775213496047000000,1775213556063000000,0
Indexing.writesQueuedAvg,1775213496047000000,1775213556063000000,0.0
Indexing.writesQueuedMax,1775213496047000000,1775213556063000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775213496047000000,1775213556063000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1775213496047000000,1775213556063000000,0
Indexing.totalTimeIndexersSleptMs,1775213496047000000,1775213556063000000,0
cacheStateStorage.get.counter,1775213496047000000,1775213556063000000,5
cacheStateStorage.set.duration,1775213496047000000,1775213556063000000,0
cacheStateStorage.get.duration,1775213496047000000,1775213556063000000,0
cacheStateStorage.set.counter,1775213496047000000,1775213556063000000,0
StorageLockContext.competingThreads.avg,1775213496047000000,1775213556063000000,0.0
FilePageCache.totalPageDisposalsUs,1775213496047000000,1775213556063000000,5408
FilePageCache.pageLoadsAboveSizeThreshold,1775213496047000000,1775213556063000000,0
FilePageCache.maxRegisteredFiles,1775213496047000000,1775213556063000000,666
StreamlinedBlobStorage.recordsAllocated,1775213496047000000,1775213556063000000,13
DirectByteBufferAllocator.misses,1775213496047000000,1775213556063000000,239
